Server_ID,Device_ID,Point_Name,Address,Register_Type,Data_Type,Byte_Order,Scale,Offset,Unit
modbus_server,modbus_dashboard_one,pretreatment_concentration_mg_l,0,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,pretreatment_total_chlorine_mg_l,1,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,pretreatment_residual_chlorine_mg_l,2,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,eyedrop_concentration_mg_l,3,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,eyedrop_total_chlorine_mg_l,4,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,eyedrop_residual_chlorine_mg_l,5,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,water_treatment_turbidity_ntu,6,holding,uint16,ABCD,100,0,NTU
modbus_server,modbus_dashboard_one,water_treatment_residual_chlorine_mg_l,7,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_one,water_treatment_temperature_c,8,holding,uint16,ABCD,10,0,°C
modbus_server,modbus_dashboard_one,supply_tank_level_m,9,holding,uint16,ABCD,100,0,m
modbus_server,modbus_dashboard_one,supply_tank_temperature_c,10,holding,uint16,ABCD,10,0,°C
modbus_server,modbus_dashboard_one,supply_tank_ph,11,holding,uint16,ABCD,100,0,pH
modbus_server,modbus_dashboard_one,eyedrop_ec_us_cm,12,holding,uint16,ABCD,1,0,µS/cm
modbus_server,modbus_dashboard_one,eyedrop_temperature_c,13,holding,uint16,ABCD,10,0,°C
modbus_server,modbus_dashboard_one,water_treatment_ec_us_cm,14,holding,uint16,ABCD,1,0,µS/cm
modbus_server,modbus_dashboard_one,water_treatment_ph,15,holding,uint16,ABCD,100,0,pH
modbus_server,modbus_dashboard_two,pretreatment_concentration_mg_l,0,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,pretreatment_total_chlorine_mg_l,1,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,pretreatment_residual_chlorine_mg_l,2,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,eyedrop_concentration_mg_l,3,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,eyedrop_total_chlorine_mg_l,4,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,eyedrop_residual_chlorine_mg_l,5,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,water_treatment_turbidity_ntu,6,holding,uint16,ABCD,100,0,NTU
modbus_server,modbus_dashboard_two,water_treatment_residual_chlorine_mg_l,7,holding,uint16,ABCD,100,0,mg/L
modbus_server,modbus_dashboard_two,water_treatment_temperature_c,8,holding,uint16,ABCD,10,0,°C
modbus_server,modbus_dashboard_two,supply_tank_level_m,9,holding,uint16,ABCD,100,0,m
modbus_server,modbus_dashboard_two,supply_tank_temperature_c,10,holding,uint16,ABCD,10,0,°C
modbus_server,modbus_dashboard_two,supply_tank_ph,11,holding,uint16,ABCD,100,0,pH
modbus_server,modbus_dashboard_two,eyedrop_ec_us_cm,12,holding,uint16,ABCD,1,0,µS/cm
modbus_server,modbus_dashboard_two,eyedrop_temperature_c,13,holding,uint16,ABCD,10,0,°C
modbus_server,modbus_dashboard_two,water_treatment_ec_us_cm,14,holding,uint16,ABCD,1,0,µS/cm
modbus_server,modbus_dashboard_two,water_treatment_ph,15,holding,uint16,ABCD,100,0,pH
modbus_server_2,modbus_dashboard_three,pretreatment_concentration_mg_l,0,holding,uint16,ABCD,100,0,mg/L
modbus_server_2,modbus_dashboard_three,pretreatment_total_chlorine_mg_l,1,holding,uint16,ABCD,100,0,mg/L
modbus_server_2,modbus_dashboard_three,pretreatment_residual_chlorine_mg_l,2,holding,uint16,ABCD,100,0,mg/L
modbus_server_2,modbus_dashboard_three,eyedrop_concentration_mg_l,3,holding,uint16,ABCD,100,0,mg/L
modbus_server_2,modbus_dashboard_three,eyedrop_total_chlorine_mg_l,4,holding,uint16,ABCD,100,0,mg/L
modbus_server_2,modbus_dashboard_three,eyedrop_residual_chlorine_mg_l,5,holding,uint16,ABCD,100,0,mg/L
modbus_server_2,modbus_dashboard_three,water_treatment_turbidity_ntu,6,holding,uint16,ABCD,100,0,NTU
